일,날짜의 연도,최고기온
24일,2010,29.3
25일,2010,30.0
26일,2010,28.6
27일,2010,30.8
28일,2010,31.2
29일,2010,30.6
2일,2010,25.9
30일,2010,30.8
31일,2010,30.1
3일,2010,25.7
4일,2010,29.9
5일,2010,30.8
6일,2010,31.6
7일,2010,29.6
8일,2010,29.6
9일,2010,29.8
10일,2011,28.4
11일,2011,22.1
12일,2011,25.6
13일,2011,26.2
14일,2011,24.6
15일,2011,26.0
16일,2011,25.3
17일,2011,29.1
18일,2011,34.1
19일,2011,32.7
1일,2011,28.6
20일,2011,32.6
21일,2011,32.2
22일,2011,26.6
23일,2011,29.7
24일,2011,27.9
25일,2011,27.9
26일,2011,29.3
27일,2011,26.2
28일,2011,26.3
29일,2011,30.2
2일,2011,26.8
30일,2011,30.5
31일,2011,26.6
3일,2011,24.8
4일,2011,28.0
5일,2011,30.7
6일,2011,31.2
7일,2011,25.3
8일,2011,24.6
9일,2011,27.8
10일,2012,29.1
11일,2012,26.5
12일,2012,28.5
13일,2012,29.3
14일,2012,26.2
15일,2012,20.5
16일,2012,25.0
17일,2012,29.0
18일,2012,28.4
19일,2012,26.5
1일,2012,25.4
20일,2012,29.7
21일,2012,31.4
22일,2012,30.4
23일,2012,30.5
24일,2012,32.1
25일,2012,32.1
26일,2012,32.6
27일,2012,32.3
28일,2012,33.2
29일,2012,33.2
2일,2012,29.8
30일,2012,31.6
31일,2012,33.0
3일,2012,25.7
4일,2012,27.4
5일,2012,24.6
6일,2012,21.8
7일,2012,31.0
8일,2012,30.7
9일,2012,32.3
10일,2013,26.1
11일,2013,25.1
12일,2013,24.3
13일,2013,25.6
14일,2013,25.4
15일,2013,29.1
16일,2013,28.8
17일,2013,25.7
18일,2013,27.7
19일,2013,30.5
1일,2013,31.3
20일,2013,30.3
21일,2013,28.4
22일,2013,29.4
23일,2013,26.4
24일,2013,27.6
25일,2013,30.2
26일,2013,31.1
27일,2013,31.2
28일,2013,26.7
29일,2013,29.6
2일,2013,27.9
30일,2013,29.9
31일,2013,29.0
3일,2013,30.7
4일,2013,27.6
5일,2013,30.2
6일,2013,30.6
7일,2013,29.5
8일,2013,26.3
9일,2013,26.2
10일,2014,33.6
11일,2014,32.8
12일,2014,29.6
13일,2014,29.4
14일,2014,30.7
15일,2014,32.3
16일,2014,32.2
17일,2014,29.6
18일,2014,30.6
19일,2014,30.7
1일,2014,31.2
20일,2014,33.2
21일,2014,31.6
22일,2014,28.2
23일,2014,25.2
24일,2014,24.5
25일,2014,33.7
26일,2014,27.3
27일,2014,30.6
28일,2014,31.3
29일,2014,30.1
2일,2014,31.1
30일,2014,33.5
31일,2014,34.4
3일,2014,24.7
4일,2014,32.3
5일,2014,29.7
6일,2014,29.5
7일,2014,33.8
8일,2014,29.3
9일,2014,33.0
10일,2015,34.3
11일,2015,36.0
12일,2015,28.0
13일,2015,24.9
14일,2015,31.4
15일,2015,33.9
16일,2015,28.9
17일,2015,28.6
18일,2015,27.8
19일,2015,29.8
1일,2015,27.9
20일,2015,31.2
21일,2015,29.6
22일,2015,31.7
23일,2015,32.1
24일,2015,25.4
25일,2015,26.4
26일,2015,30.0
27일,2015,30.0
28일,2015,31.2
29일,2015,28.8
2일,2015,29.3
30일,2015,33.1
31일,2015,32.4
3일,2015,28.3
4일,2015,29.9
5일,2015,29.6
6일,2015,32.5
7일,2015,29.7
8일,2015,26.3
9일,2015,31.8
10일,2016,33.1
11일,2016,33.4
12일,2016,30.9
13일,2016,29.5
14일,2016,32.4
15일,2016,29.2
16일,2016,23.8
17일,2016,23.1
18일,2016,28.4
19일,2016,32.4
1일,2016,26.6
20일,2016,32.9
21일,2016,32.2
22일,2016,34.1
23일,2016,31.6
24일,2016,30.1
25일,2016,31.4
26일,2016,31.9
27일,2016,28.9
28일,2016,30.5
29일,2016,28.4
2일,2016,27.7
30일,2016,33.0
31일,2016,32.8
3일,2016,26.8
4일,2016,24.1
5일,2016,24.8
6일,2016,26.9
7일,2016,28.5
8일,2016,32.4
9일,2016,32.7
10일,2017,25.4
11일,2017,30.9
12일,2017,31.1
13일,2017,32.1
14일,2017,33.0
15일,2017,27.3
16일,2017,28.8
17일,2017,29.0
18일,2017,30.7
19일,2017,34.1
1일,2017,30.7
20일,2017,34.9
21일,2017,32.4
22일,2017,32.5
23일,2017,28.1
24일,2017,27.3
25일,2017,35.4
26일,2017,32.8
27일,2017,29.7
28일,2017,26.9
29일,2017,30.1
2일,2017,26.8
30일,2017,32.6
31일,2017,27.1
3일,2017,27.4
4일,2017,31.6
5일,2017,32.6
6일,2017,34.6
7일,2017,28.4
8일,2017,27.6
9일,2017,30.3
10일,2018,26.5
11일,2018,29.5
12일,2018,28.2
13일,2018,30.9
14일,2018,31.9
15일,2018,33.2
16일,2018,34.0
17일,2018,32.1
18일,2018,33.2
19일,2018,34.1
1일,2018,22.8
20일,2018,34.7
21일,2018,36.9
22일,2018,38.0
23일,2018,35.7
24일,2018,36.8
25일,2018,34.1
26일,2018,33.7
27일,2018,35.4
28일,2018,35.2
29일,2018,36.7
2일,2018,25.3
30일,2018,36.9
31일,2018,38.3
3일,2018,32.6
4일,2018,31.8
5일,2018,29.0
6일,2018,27.1
7일,2018,29.2
8일,2018,28.1
9일,2018,24.2
10일,2019,27.3
11일,2019,25.9
12일,2019,28.7
13일,2019,29.7
14일,2019,31.6
15일,2019,27.4
16일,2019,28.8
17일,2019,29.2
18일,2019,32.1
19일,2019,35.0
1일,2019,28.9
20일,2019,31.9
21일,2019,27.0
22일,2019,31.0
23일,2019,32.9
24일,2019,27.2
25일,2019,27.4
26일,2019,25.9
27일,2019,33.4
28일,2019,28.2
29일,2019,30.0
2일,2019,30.1
30일,2019,30.8
31일,2019,27.5
3일,2019,27.4
4일,2019,32.8
5일,2019,35.0
6일,2019,36.1
7일,2019,32.5
8일,2019,31.0
9일,2019,30.0
